,Dust attenuation value,Age (Gyr),Log10(Mass/Mass_Sun),Tau (Gyr)
0,0.1648691903421710,0.2032911081660820,7.885366660500210,0.0330354477246532
1,0.2008517572931340,0.4702480533753310,8.297677735406540,0.0871459775662365
2,0.19786299417290600,4.033993194275280,8.184614779714330,1.2739737806583300
3,0.001,0.7216364022206550,8.36011019137045,0.2425883215430400
4,0.001,0.6994639566523550,8.373326782804570,0.5106830458053310
5,0.08059182449752020,0.8265444287294270,7.629000986652260,0.6060364290600060
6,0.4488191139005980,4.5293594528719800,10.993512669618200,0.6579691106823900
7,0.001,0.3981584007117890,7.565025588307170,0.08957940934760400
8,0.7598801007501800,0.7151506232289460,9.535678814103540,1.0226443013904000
9,0.5421368754818960,0.4082256848043900,8.290803195318120,8.622035548936560
10,0.001,3.9912821969369700,8.095127823175760,1.9137152251379200
11,0.001,0.2540591649973680,7.977726295022080,0.10497383884862300
12,0.1496828406898800,0.38720704121299600,8.580421182203520,0.14988660353936500
13,0.06734090809871090,0.6604782432029590,8.29021278831279,0.4018216912906010
14,0.021387970727951900,0.17918517942967400,7.5050030154061500,0.7989655630139390
15,0.06231830804775270,0.10995177361995000,7.452544667776010,0.018187704809690000
16,0.5364141901723020,0.08367746881107470,9.3296145668632,0.028059519146752900
17,0.001,0.5317102334820480,8.143469117967830,0.4441444193574780
18,0.12045045021922300,1.0512810189573600,8.036798621101120,0.371374257957743
19,0.14692303099362400,0.5590167599684700,7.914209178471170,0.14947774844554900
20,0.11184457273461600,1.0276707091584800,8.746104478528490,1.2482332284959100
21,0.6156284473732840,1.3031837475223800,9.584178751622300,1.1175227470934000
22,0.03667933131736740,0.11580784674620900,7.3147022183547100,0.017195471422045000
23,0.20083671055312300,0.07880241622106040,7.396342776556810,0.01676536708544950
24,0.027468747432541000,0.21882764771198200,8.640863682189290,0.07999113189126000
25,0.9179741334469990,0.5880904744956540,8.994206312516370,0.8331645257032560
26,0.001,0.5512681257098740,7.464687760638810,0.1442464320904800
27,0.001,0.46585186281358200,7.761070129131670,0.1131173343618720
28,0.6433002628712390,1.9758216693051800,10.491762603004700,0.3122854517230830
29,0.10029978807981900,0.5813173196684770,8.263955578565730,0.22107348986056400
30,0.12255071392489500,0.9584821767588680,8.590689580361410,0.5358532350833650
31,0.2499109116097010,1.196421565924720,8.643371542270530,0.6987868165027740
32,0.001,0.4863710555571170,7.700011286854750,0.16642601427018800
33,0.001,0.5082273882663090,8.061049598602910,0.28578235210216900
34,0.001,0.5918727260620770,7.152665106657330,0.3275243437559210
35,1.0476591127510400,0.3930287127453110,9.762821358482870,0.12126922903284600
36,0.7955276725889140,0.41706543630904000,8.947052598533020,0.7875981983626640
37,0.09773806560495690,0.9676306636878600,9.578560868184000,0.3573512202821470
38,0.016122967209459200,1.287655694448810,8.35165944575191,0.3734056371159530
39,0.3974097319527410,0.8122560588411880,8.519069268546340,1.1326539489083100
40,0.1277136190772220,0.3033101133937790,7.899404268047360,0.060370150040504000
41,0.08165807475294380,0.3253016209970600,8.648855325543660,0.1169273958981370
42,0.12951989169871300,1.7116697211402600,8.024827286516640,0.28364420962316200
43,0.03877371432832370,0.5987528257032480,8.41218164799717,0.15900920560503300
44,1.2234620427638400,0.1722868833790730,8.294373883678670,0.1499729904002330
45,0.02584938926277770,1.2345053524790100,8.383273299960570,0.09666567490734730
46,0.19333981203577300,0.5843321410440580,8.559203138995680,0.27167133636055700
47,0.16484674963230400,1.0180401976446800,9.261502262251460,0.3808471710818340
48,2.3605146006249500,0.15473978791141700,10.756307173294900,0.010667627793461000
49,0.6686020836512260,0.5289153181521880,9.716402883665760,0.5831187060274370
50,0.0072094865115793700,0.8259959592271640,8.121772022275200,0.15425323795048100
51,0.08629785758593010,0.6414958662694900,8.507101900487160,0.2759649005593100
52,0.06391058585974870,0.5300633064486770,7.9198806456572700,0.27916437190899300
53,0.001,0.4990835823151290,8.147649514054960,0.1380870874446530
54,0.1124169173244960,0.4208513655210710,8.279353383076710,0.09887458312833380
55,0.1031197720030260,0.35957762591537300,8.36583449354645,0.07671318583934110
56,0.001,0.6339227920160520,8.29882094429432,0.2801026011978000
57,0.05490313892782590,0.9748562189616610,8.11643642236828,0.9885793411662630
58,0.0115161208701687,0.7963784768355130,7.697491611141990,0.16481158913951600
